ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
OCS,Oculis Holding AG,Healthcare,Biotechnology,NASDAQ,13.56,719627,818862272,1.1088,20.52,22.57,-6.2813,-62.29,-42.23,-49.52,-50.16,0.0,15.0,4,34.48,10.52,-60.67,0.0,,8,,20260707
MQ,"Marqeta, Inc.",Technology,Software - Infrastructure,NASDAQ,15.93,1094658,1675868672,0.8143,16.18,17.65,-0.3107,-14.2,-24.2,-53.96,-33.6,0.0,34.0,4,28.16,14.8,-43.43,0.0,,8,,20260707
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,NYSE,8.6,8061426,1823141888,0.3688,7.84,9.62,2.0507,-7.83,-26.79,-62.82,-36.46,0.0,40.0,3,16.85,6.8,-48.96,0.0,,8,,20260707
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,NYSE,25.49,597426,1349731584,1.9858,29.72,31.33,-2.1326,-7.56,-26.92,30.74,0.99,0.0,35.0,3,44.93,15.52,-43.27,0.0,,8,,20260707
HGRAF,HydroGraph Clean Power Inc.,Basic Materials,Specialty Chemicals,OQB,3.48,1171327,1218778752,0.3588,4.82,3.52,-3.7505,-37.42,72.22,2019.59,823.76,0.0,19.5,4,8.37,0.16,-58.46,0.0,,8,,20260707
VLXGF,Volex plc,Industrials,Electrical Equipment & Parts,PNK,7.35,7139,1354404096,0.2567,8.24,6.35,-3.4801,3.7,20.73,18.85,15.72,0.0,60.0,3,9.53,4.73,-22.88,0.0,,8,,20260707
MQY,"BlackRock MuniYield Quality Fund, Inc.",Financial Services,Asset Management,NYSE,11.59,376463,832551616,0.0943,11.35,11.22,2.5927,-6.49,-4.77,-11.02,-7.7,0.0,83.75,2,11.94,10.78,-2.93,0.0,,8,,20260707
LMPMY,Lee & Man Paper Manufacturing Limited,Basic Materials,Paper & Paper Products,PNK,3.77,18,1619214976,0.0123,3.89,3.86,-9.7496,-30.07,4.8,32.26,7.07,0.0,24.0,4,5.2,2.51,-27.5,0.0,,8,,20260707
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,NASDAQ,74.3,116747,1874295424,2.0691,68.42,61.98,2.8436,10.52,21.4,-9.22,6.44,0.0,90.0,2,75.3,54.97,-1.33,0.0,,8,,20260707
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,NYSE,18.39,2724300,2084860160,0.5436,16.26,12.92,3.919,31.0,49.4,52.15,45.9,0.0,87.5,2,19.75,9.3,-6.89,0.0,,8,,20260707
AIP,"Arteris, Inc.",Technology,Semiconductors,NASDAQ,31.32,1038447,1446106496,3.5647,36.01,20.57,-1.3147,57.94,91.0,218.43,133.71,0.0,62.5,3,50.26,8.42,-37.68,0.0,,8,,20260707
