ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
AMFN,American Fusion Inc.,Basic Materials,Specialty Chemicals,OID,0.1,9746386,350143936,0.0228,0.1,0.04,0.0445,65.49,736.61,99576.47,40104.77,98.91,86.25,2,0.2,0.0,-50.15,93.85,A+,1,blue,20260625
DISPF,Disco Corporation,Technology,Semiconductor Equipment & Materials,PNK,481.8,338,53874401280,37.8963,456.6,147.74,0.665,1939.57,2982.89,8139.05,4784.52,98.83,85.0,2,573.49,181.0,-15.99,93.3,A+,1,green,20260625
SNDK,Sandisk Corporation,Technology,Computer Hardware,NASDAQ,1914.46,14353533,283511914496,164.9806,1469.77,643.1,2.6954,159.98,697.41,3954.13,1865.74,98.69,88.75,2,2354.39,40.1,-18.69,94.71,A+,1,green,20260625
SREMF,Sunrise Energy Metals Limited,Industrials,Pollution & Treatment Controls,OQX,11.95,40279,1838136704,1.0866,9.71,6.02,2.0624,101.36,156.21,2047.92,899.18,98.48,88.75,2,14.5,0.43,-17.59,94.59,A+,1,green,20260625
KXHCF,KIOXIA HLDGS CORP,Unknown,Unknown,PNK,579.0,11808,0,46.8846,345.25,579.0,4.9856,358.19,826.27,826.27,709.25,98.42,85.0,3,699.65,57.26,-17.24,93.05,A+,1,yellow,20260625
KXIAY,KIOXIA HLDGS CORP,Technology,Semiconductors,PNK,55.35,1208346,313809108992,5.3742,37.06,55.35,3.4039,301.44,773.06,891.27,702.44,98.4,90.0,3,70.95,4.12,-21.99,95.04,A+,1,green,20260625
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,NYSE,326.19,10574777,92782747648,26.9763,271.13,158.22,2.041,111.06,258.94,1322.35,647.33,98.37,88.75,2,349.99,21.5,-6.8,94.52,A+,1,green,20260625
WDC,Western Digital Corporation,Technology,Computer Hardware,NASDAQ,643.83,8015943,221916708864,50.051,500.21,274.86,2.8695,101.37,247.5,945.66,490.23,98.23,86.25,2,799.87,62.13,-19.51,93.44,A+,1,green,20260625
IQEPF,IQE plc,Technology,Semiconductor Equipment & Materials,PNK,0.67,2734393,884393920,0.0936,0.66,0.27,0.0485,90.82,887.67,339.08,469.02,98.19,86.25,2,0.95,0.06,-29.91,93.41,A+,1,blue,20260625
RXT,"Rackspace Technology, Inc.",Technology,Software - Infrastructure,NASDAQ,6.82,22632188,1699697408,0.9848,4.16,1.98,2.6982,378.1,553.83,435.49,462.56,98.17,87.5,2,8.6,0.39,-20.7,93.9,A+,1,green,20260625
CLYM,"Climb Bio, Inc.",Healthcare,Biotechnology,NASDAQ,12.75,918106,730103552,0.9294,10.58,5.66,2.3378,78.32,189.59,938.97,461.52,98.15,87.5,2,12.81,1.18,-0.47,93.89,A+,1,green,20260625
IQEPY,IQE plc,Technology,Semiconductor Equipment & Materials,PNK,16.89,28695,873802432,2.1947,16.58,6.99,0.1398,79.6,856.83,345.64,458.05,98.14,85.0,2,24.5,1.75,-31.06,92.88,A+,1,green,20260625
OPTX,"Syntec Optics Holdings, Inc.",Technology,Electronic Components,NCM,10.33,1263108,416091168,1.5831,10.06,5.55,0.17,22.66,499.34,653.16,441.7,98.12,83.75,2,14.92,1.18,-30.76,92.37,A+,1,green,20260625
MXL,"MaxLinear, Inc.",Technology,Semiconductors,NASDAQ,84.99,4682783,7610510848,9.5886,76.09,31.86,0.9282,369.26,373.77,525.74,433.43,98.08,86.25,2,106.28,12.77,-20.03,93.35,A+,1,green,20260625
MU,"Micron Technology, Inc.",Technology,Semiconductors,NASDAQ,1048.51,50893654,1182440357888,86.8626,773.66,415.31,3.1642,152.66,286.31,737.4,433.33,98.06,87.5,2,1213.56,103.38,-13.6,93.84,A+,1,green,20260625
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,NYSE,106.96,423500,1784497792,9.0872,69.64,31.58,4.1071,866.49,473.79,75.47,412.63,98.03,88.75,2,119.07,7.48,-10.17,94.32,A+,1,yellow,20260625
